subgenome,condition,panel_type,sample_id,analysis_group,PC1,PC2,PC3,PC4,PC5
sgC,filtered_reservoir_12000,full_panel,1,arabica_wild,-29.81651542941675,5.713833675256113,13.51100531058714,0.2952935380799546,-3.700925335392885
sgC,filtered_reservoir_12000,full_panel,2,arabica_wild,-30.24006826568248,7.083635711630951,13.184338718474,-0.2749994040902059,-4.162839517473062
sgC,filtered_reservoir_12000,full_panel,3,arabica_wild,-29.53608781075818,6.554548209703126,13.45916677444282,1.283307189462288,-3.794677409572322
sgC,filtered_reservoir_12000,full_panel,4,arabica_wild,-29.62306537471087,7.237844158065011,13.92774432520069,0.7191622087356775,-4.241625925369568
sgC,filtered_reservoir_12000,full_panel,5,arabica_wild,-29.72455545387203,7.253338362003036,12.29262114305521,0.4430027687107542,-4.045616550577137
sgC,filtered_reservoir_12000,full_panel,6,arabica_wild,-29.62913201355617,6.754505093481095,13.86193270000372,1.031498091992346,-4.483615034317011
sgC,filtered_reservoir_12000,full_panel,7,arabica_wild,-29.84554090189924,5.368741599086601,14.48643270712255,0.4983078404389102,-4.225826135873162
sgC,filtered_reservoir_12000,full_panel,8,arabica_wild,-30.53273302920147,6.185222469410243,10.98856121175716,-0.1078668270401336,-2.848410856108859
sgC,filtered_reservoir_12000,full_panel,9,arabica_wild,-30.3216700223924,6.228955127609781,11.2472523194243,-0.832896423742113,-3.630877884420978
sgC,filtered_reservoir_12000,full_panel,10,arabica_introgressed,6.075037267503873,-45.81487970913734,-85.76415337108696,-5.977102269165227,14.15732146897784
sgC,filtered_reservoir_12000,full_panel,11,arabica_introgressed,23.31794411626977,-54.90753879487608,-89.30843552080539,-3.688648123365162,9.668309970525476
sgC,filtered_reservoir_12000,full_panel,12,arabica_cultivated,-31.25372336339905,4.163266043530268,5.965647154928089,-2.28743214290246,-0.2714860205177385
sgC,filtered_reservoir_12000,full_panel,13,arabica_cultivated,-31.52359043720723,4.987964243174791,6.069399027712832,-2.26968119495276,0.03835480971887374
sgC,filtered_reservoir_12000,full_panel,14,arabica_cultivated,-30.35824705441979,6.03688819550848,10.59001089163028,-0.9158487900620094,-2.420369141352008
sgC,filtered_reservoir_12000,full_panel,15,arabica_wild,-29.87671071494125,6.663078552869818,13.84631889848201,0.9121033278637622,-4.272789641303271
sgC,filtered_reservoir_12000,full_panel,16,arabica_introgressed,-5.273822254723964,-31.50704465745176,-65.45270438167918,-6.047255342976712,17.11106250284168
sgC,filtered_reservoir_12000,full_panel,17_BMJM,arabica_cultivated,-30.87761156407138,4.397264762964823,8.226166159572601,-1.076378407591472,-0.6133959600252739
sgC,filtered_reservoir_12000,full_panel,18_E123,arabica_wild,-29.6237178424172,5.175881855909031,12.36684878331869,0.7737003997191272,-3.309026036597476
sgC,filtered_reservoir_12000,full_panel,19_E237,arabica_wild,-29.87488064589228,7.014575228935222,12.77707189322996,0.487250770729716,-3.842527522346222
sgC,filtered_reservoir_12000,full_panel,20_E261,arabica_wild,-29.21313897469039,5.989821541259129,12.87078077466076,0.4430541316891429,-2.544067756452766
sgC,filtered_reservoir_12000,full_panel,21_E383,arabica_wild,-30.0786488330408,6.869852948445455,12.84202184582124,-0.4053963759021343,-4.048975281140937
sgC,filtered_reservoir_12000,full_panel,22_E516,arabica_wild,-30.94907612449659,5.427294441843491,10.10630295327974,-1.040826268116475,-1.690245104029728
sgC,filtered_reservoir_12000,full_panel,23_Erecta,arabica_cultivated,-31.3067023639475,4.743181409610178,5.877502370019581,-1.705252323083619,0.3170516101114362
sgC,filtered_reservoir_12000,full_panel,24_ET59,arabica_wild,-30.44838121361515,6.527861443871225,12.02687770242247,0.04873058045112048,-2.698146912069882
sgC,filtered_reservoir_12000,full_panel,25_JK1,arabica_cultivated,-31.23151219439233,4.747083157718121,7.524145591419204,-0.9236039130367412,-1.702554675450413
sgC,filtered_reservoir_12000,full_panel,26_Moka,arabica_cultivated,-30.88049870926714,5.163109024051336,6.93303585798434,-1.779121380607529,0.3391927604331021
sgC,filtered_reservoir_12000,full_panel,27_Rubi,arabica_cultivated,-31.52708782579178,4.796223355113212,5.667443487106037,-2.016506276029427,-0.1546149055450776
sgC,filtered_reservoir_12000,full_panel,28_Topazio,arabica_cultivated,-30.95303628712041,4.563763973966572,5.983998367067891,-1.574650351748791,0.2604378731663288
sgC,filtered_reservoir_12000,full_panel,29_CostaRica95,arabica_introgressed,-12.24231322884232,-23.25486746986691,-53.62680780468524,-2.029305516383053,16.41440427255723
sgC,filtered_reservoir_12000,full_panel,30_OroAzteca,arabica_introgressed,4.470490706278349,-40.85658156707342,-86.33099801209109,-4.529248980671942,24.55221944331445
sgC,filtered_reservoir_12000,full_panel,31_ArabustaPizze,arabica_introgressed,66.50342160837874,-49.94571414948478,-13.36345220166676,3.824933634566418,-29.98748877148229
sgC,filtered_reservoir_12000,full_panel,32_Bourbonpointu,arabica_cultivated,-31.22918583228118,4.640499333007104,6.534222180572838,-1.125861050770463,0.03525726112611677
sgC,filtered_reservoir_12000,full_panel,37_Catuai99,arabica_cultivated,-30.94280800196739,4.781996220832509,6.370976659292027,-2.160241779177751,0.1564246290160463
sgC,filtered_reservoir_12000,full_panel,38_Et38C3,arabica_wild,-30.52876076469743,5.191811348335067,11.48110559771906,-0.9034839963503348,-2.839176415316444
sgC,filtered_reservoir_12000,full_panel,39_Guatemalense,arabica_cultivated,-31.08312640809301,5.283988210784154,5.707929852960371,-1.434575882875913,-0.2341747309286956
sgC,filtered_reservoir_12000,full_panel,40_BU-A,eugenioides,184.6943550845813,146.7820267274413,-33.70523334446187,23.16620747409597,-5.603904340158151
sgC,filtered_reservoir_12000,full_panel,LINN32,arabica_wild,-18.5728259188393,-1.991904340467594,11.44085637717748,0.5163064618509434,0.07384099620874551
sgC,filtered_reservoir_12000,full_panel,Amsterdam,arabica_cultivated,-30.57753288478825,4.785058053342777,7.06326578316389,-1.785347486940839,-0.1909207463826026
sgC,filtered_reservoir_12000,full_panel,BP409,canephora,193.3580063714453,-114.3180886168908,11.92737169493928,29.67481097764939,-94.51379965517998
sgC,filtered_reservoir_12000,full_panel,Q121,canephora,222.0135592512837,-28.07182278260379,53.02655301169687,-124.3999217250965,32.06570425474045
sgC,filtered_reservoir_12000,full_panel,BUD15,canephora,149.3912520825416,-80.16981657386091,68.94291659135192,89.26470878807076,83.6945992761201
sgC,filtered_reservoir_12000,full_panel,DA56,eugenioides,162.3265943147044,143.3842775880235,-33.80445119461889,21.22916740714329,-2.474345551330084
sgC,filtered_reservoir_12000,full_panel,BB1,arabica_cultivated,-31.39457678447644,5.344194327156546,6.009164180814595,-1.824319045622909,-0.2898559220667576
sgC,filtered_reservoir_12000,full_panel,TIP1,arabica_cultivated,-31.05977627407727,4.996672267773186,6.219246932683775,-1.495774312946758,-0.0479013900771201
sgC,filtered_reservoir_12000,arabica_only,1,arabica_wild,-16.63847451881833,13.67188235203451,-5.325471967031395,6.798680239101508,-18.70836216714959
sgC,filtered_reservoir_12000,arabica_only,2,arabica_wild,-17.62795970161604,13.64188963744648,-5.264048580351793,5.908244185349456,-19.84787602700812
sgC,filtered_reservoir_12000,arabica_only,3,arabica_wild,-16.86488431181701,13.62330456638531,-6.236068256786665,8.712777163779993,-20.79294715706728
sgC,filtered_reservoir_12000,arabica_only,4,arabica_wild,-16.84566633140958,14.8853292889988,-5.287659649937589,7.335510524396243,-25.32928830793608
sgC,filtered_reservoir_12000,arabica_only,5,arabica_wild,-16.95491219006408,13.39167667987322,-3.719700529724938,5.555541053147825,-16.51125362660969
