subgenome,condition,panel_type,component,explained_variance_ratio
sgC,filtered_reservoir_12000,full_panel,PC1,0.397175660174816
sgC,filtered_reservoir_12000,full_panel,PC2,0.1440034074377946
sgC,filtered_reservoir_12000,full_panel,PC3,0.08473173215374863
sgC,filtered_reservoir_12000,full_panel,PC4,0.04943237205842873
sgC,filtered_reservoir_12000,full_panel,PC5,0.0380040246350275
sgC,filtered_reservoir_12000,arabica_only,PC1,0.3441122920429299
sgC,filtered_reservoir_12000,arabica_only,PC2,0.169659384762919
sgC,filtered_reservoir_12000,arabica_only,PC3,0.05586851319105469
sgC,filtered_reservoir_12000,arabica_only,PC4,0.04621411312896383
sgC,filtered_reservoir_12000,arabica_only,PC5,0.03492321905421254
sgC,priority_seed_20250416_6000,full_panel,PC1,0.399945334329446
sgC,priority_seed_20250416_6000,full_panel,PC2,0.146802941670761
sgC,priority_seed_20250416_6000,full_panel,PC3,0.08284034105075382
sgC,priority_seed_20250416_6000,full_panel,PC4,0.05021318627727946
sgC,priority_seed_20250416_6000,full_panel,PC5,0.03755483575382414
sgC,priority_seed_20250416_6000,arabica_only,PC1,0.3393998482702542
sgC,priority_seed_20250416_6000,arabica_only,PC2,0.1682730587274162
sgC,priority_seed_20250416_6000,arabica_only,PC3,0.05665610114503598
sgC,priority_seed_20250416_6000,arabica_only,PC4,0.04723511901703142
sgC,priority_seed_20250416_6000,arabica_only,PC5,0.03884935085312296
sgC,priority_seed_20250416_12000,full_panel,PC1,0.3979177529572626
sgC,priority_seed_20250416_12000,full_panel,PC2,0.145812344461623
sgC,priority_seed_20250416_12000,full_panel,PC3,0.08251586847283007
sgC,priority_seed_20250416_12000,full_panel,PC4,0.05025247718484861
sgC,priority_seed_20250416_12000,full_panel,PC5,0.03761672364675941
sgC,priority_seed_20250416_12000,arabica_only,PC1,0.3403169315897079
sgC,priority_seed_20250416_12000,arabica_only,PC2,0.1684318506435334
sgC,priority_seed_20250416_12000,arabica_only,PC3,0.05680929730950881
sgC,priority_seed_20250416_12000,arabica_only,PC4,0.04824854183032291
sgC,priority_seed_20250416_12000,arabica_only,PC5,0.03588643301835077
sgC,priority_seed_20250416_24000,full_panel,PC1,0.3963028658343274
sgC,priority_seed_20250416_24000,full_panel,PC2,0.145935900836748
sgC,priority_seed_20250416_24000,full_panel,PC3,0.08382012044458
sgC,priority_seed_20250416_24000,full_panel,PC4,0.0499855888959483
sgC,priority_seed_20250416_24000,full_panel,PC5,0.03769606898116155
sgC,priority_seed_20250416_24000,arabica_only,PC1,0.3407388335808394
sgC,priority_seed_20250416_24000,arabica_only,PC2,0.1700920903487433
sgC,priority_seed_20250416_24000,arabica_only,PC3,0.05666630021633184
sgC,priority_seed_20250416_24000,arabica_only,PC4,0.04747185589350299
sgC,priority_seed_20250416_24000,arabica_only,PC5,0.03601464223473698
sgC,priority_seed_20250416_48000,full_panel,PC1,0.3969276591846544
sgC,priority_seed_20250416_48000,full_panel,PC2,0.1451256871036438
sgC,priority_seed_20250416_48000,full_panel,PC3,0.08302489450079521
sgC,priority_seed_20250416_48000,full_panel,PC4,0.05047991408288734
sgC,priority_seed_20250416_48000,full_panel,PC5,0.03771380744375984
sgC,priority_seed_20250416_48000,arabica_only,PC1,0.3424020006520995
sgC,priority_seed_20250416_48000,arabica_only,PC2,0.1688888568009708
sgC,priority_seed_20250416_48000,arabica_only,PC3,0.05642209775298593
sgC,priority_seed_20250416_48000,arabica_only,PC4,0.0470862943168399
sgC,priority_seed_20250416_48000,arabica_only,PC5,0.03604046158232561
sgC,priority_seed_20250417_6000,full_panel,PC1,0.3998294739375807
sgC,priority_seed_20250417_6000,full_panel,PC2,0.1441862691093254
sgC,priority_seed_20250417_6000,full_panel,PC3,0.08001301982609459
sgC,priority_seed_20250417_6000,full_panel,PC4,0.04879552556875161
sgC,priority_seed_20250417_6000,full_panel,PC5,0.03735160334494145
sgC,priority_seed_20250417_6000,arabica_only,PC1,0.335088026123473
sgC,priority_seed_20250417_6000,arabica_only,PC2,0.163357454887895
sgC,priority_seed_20250417_6000,arabica_only,PC3,0.05684440394698882
sgC,priority_seed_20250417_6000,arabica_only,PC4,0.04766379660175472
sgC,priority_seed_20250417_6000,arabica_only,PC5,0.03572888327698173
sgC,priority_seed_20250417_12000,full_panel,PC1,0.3985685208995364
sgC,priority_seed_20250417_12000,full_panel,PC2,0.145274478387857
sgC,priority_seed_20250417_12000,full_panel,PC3,0.08202568494599687
sgC,priority_seed_20250417_12000,full_panel,PC4,0.0502693000471726
sgC,priority_seed_20250417_12000,full_panel,PC5,0.03794595713916193
sgC,priority_seed_20250417_12000,arabica_only,PC1,0.3378913985456409
sgC,priority_seed_20250417_12000,arabica_only,PC2,0.1675733436788925
sgC,priority_seed_20250417_12000,arabica_only,PC3,0.05727043122791761
sgC,priority_seed_20250417_12000,arabica_only,PC4,0.04798068191715026
sgC,priority_seed_20250417_12000,arabica_only,PC5,0.03605166556408378
sgC,priority_seed_20250417_24000,full_panel,PC1,0.3993813873154363
sgC,priority_seed_20250417_24000,full_panel,PC2,0.1459116529742798
sgC,priority_seed_20250417_24000,full_panel,PC3,0.08209528857177716
sgC,priority_seed_20250417_24000,full_panel,PC4,0.05042332854424036
sgC,priority_seed_20250417_24000,full_panel,PC5,0.03774903032648432
sgC,priority_seed_20250417_24000,arabica_only,PC1,0.3420610201981401
sgC,priority_seed_20250417_24000,arabica_only,PC2,0.1682420095402419
