sample_id,pca_introgression_affinity,subgenome,condition,panel_type,analysis_group,within_introgressed_rank
1,-94.58853208554211,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
2,-95.16638482387562,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
3,-94.40247726541332,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
4,-94.61173962955051,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
5,-94.82203751243463,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
6,-94.35237562534095,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
7,-94.19355177964968,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
8,-95.66833373795943,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
9,-95.37146148333073,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
10,89.90218449026874,sgC,filtered_reservoir_12000,full_panel,arabica_introgressed,2.0
11,96.88446106646781,sgC,filtered_reservoir_12000,full_panel,arabica_introgressed,1.0
12,-95.09211372531536,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
13,-95.82976741368977,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
14,-95.8653716219835,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
15,-94.57023466355353,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
16,63.59145538905379,sgC,filtered_reservoir_12000,full_panel,arabica_introgressed,4.0
17_BMJM,-96.30240609116744,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
18_E123,-94.33423497258924,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
19_E237,-94.92983557334102,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
20_E261,-94.61320148121908,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
21_E383,-95.10966900678237,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
22_E516,-96.31593424250084,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
23_Erecta,-95.44201898166094,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
24_ET59,-95.64286784059917,sgC,filtered_reservoir_12000,full_panel,arabica_wild,
25_JK1,-96.17035573022515,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
26_Moka,-96.53153936314837,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
27_Rubi,-95.32259237716343,sgC,filtered_reservoir_12000,full_panel,arabica_cultivated,
