subgenome,condition,panel_type,pairwise_distance_correlation_vs_filtered_12k,procrustes_similarity_vs_filtered_12k,procrustes_rmse_vs_filtered_12k
sgC,filtered_reservoir_12000,full_panel,1.0,1.0,0.0
sgC,filtered_reservoir_12000,arabica_only,1.0,1.0,0.0
sgC,priority_seed_20250416_6000,full_panel,0.9997716128064771,0.9798328426381522,0.001922863007595074
sgC,priority_seed_20250416_6000,arabica_only,0.9815397023447227,0.8621191111034858,0.01396374041539891
sgC,priority_seed_20250416_12000,full_panel,0.9998341358706014,0.9825009151255454,0.001668472277382587
sgC,priority_seed_20250416_12000,arabica_only,0.9941960447989496,0.9283835906745823,0.007252875705302831
sgC,priority_seed_20250416_24000,full_panel,0.9998817590732925,0.9852135233177275,0.001409835234329911
sgC,priority_seed_20250416_24000,arabica_only,0.993082902042283,0.9215714379957639,0.007942769224545218
sgC,priority_seed_20250416_48000,full_panel,0.9999048319832072,0.9863661919226234,0.001299932595073293
sgC,priority_seed_20250416_48000,arabica_only,0.9876641113966512,0.8903761409650707,0.01110203976163035
sgC,priority_seed_20250417_6000,full_panel,0.9997506351673627,0.9781507763236534,0.002083241737945549
sgC,priority_seed_20250417_6000,arabica_only,0.9855933872223775,0.8770932822290303,0.01244724715657028
sgC,priority_seed_20250417_12000,full_panel,0.9998530533691177,0.9851078374771789,0.001419911983847521
sgC,priority_seed_20250417_12000,arabica_only,0.9961454841855302,0.9405181992106664,0.006023956128438646
sgC,priority_seed_20250417_24000,full_panel,0.9998539801502035,0.9856863656435134,0.001364751487505037
sgC,priority_seed_20250417_24000,arabica_only,0.9984916528937802,0.9616037384853524,0.003888540558472311
sgC,priority_seed_20250417_48000,full_panel,0.9998958571188186,0.9865871363281061,0.00127886637258021
sgC,priority_seed_20250417_48000,arabica_only,0.9989102553594673,0.9669316345042155,0.003348963554269219
sgC,priority_seed_20250418_6000,full_panel,0.9997878841186886,0.9796097150518064,0.001944137388216011
sgC,priority_seed_20250418_6000,arabica_only,0.9990387264083792,0.9646454253503854,0.00358049695541629
sgC,priority_seed_20250418_12000,full_panel,0.9997998404936816,0.9826471674676414,0.001654527663704777
sgC,priority_seed_20250418_12000,arabica_only,0.9900937482156615,0.9011653391742822,0.01000937518505663
sgC,priority_seed_20250418_24000,full_panel,0.9998609790238376,0.9842695611917569,0.001499838491607678
sgC,priority_seed_20250418_24000,arabica_only,0.9995229503198819,0.975150680714936,0.002516588388521566
sgC,priority_seed_20250418_48000,full_panel,0.9998898672931494,0.9861480840496709,0.001320728364801307
sgC,priority_seed_20250418_48000,arabica_only,0.9988422981973375,0.9656700621345196,0.003476727954590828
sgC,priority_seed_20250419_6000,full_panel,0.9998433733127908,0.9813887700930055,0.001774511145616796
sgC,priority_seed_20250419_6000,arabica_only,0.9993913398705296,0.9715715720017761,0.002879058817810479
sgC,priority_seed_20250419_12000,full_panel,0.9998973945537037,0.9820300761062976,0.001713365016423575
sgC,priority_seed_20250419_12000,arabica_only,0.9995341322757726,0.9759561981832416,0.002435010463418901
sgC,priority_seed_20250419_24000,full_panel,0.9998807758509484,0.9847802512010871,0.001451146109747893
sgC,priority_seed_20250419_24000,arabica_only,0.9970807416192368,0.9497089166816881,0.005093175988973913
sgC,priority_seed_20250419_48000,full_panel,0.9998855803238019,0.9856823892460367,0.001365130622128441
sgC,priority_seed_20250419_48000,arabica_only,0.9941852073231173,0.9285608918023839,0.007234919722107534
sgC,priority_seed_20250420_6000,full_panel,0.9998272313970501,0.979956507195457,0.0019110720546945
sgC,priority_seed_20250420_6000,arabica_only,0.9995473795608195,0.9756882943239434,0.002462142141909393
sgC,priority_seed_20250420_12000,full_panel,0.9998842412174296,0.983847220359875,0.0015401071099187
sgC,priority_seed_20250420_12000,arabica_only,0.9909288636337638,0.9084994267448628,0.00926662326462003
sgC,priority_seed_20250420_24000,full_panel,0.9998706625332948,0.9859977823856874,0.001335059066172273
