subgenome,seqid,start,end,strand,gene_id,gene_name,product,attributes
sgC,NC_092316.1,7055618,7057387,+,gene-LOC113740449,LOC113740449,dof zinc finger protein DOF5.4-like,ID=gene-LOC113740449;Dbxref=GeneID:113740449;Name=LOC113740449;description=dof zinc finger protein DOF5.4-like;gbkey=Gene;gene=LOC113740449;gene_biotype=protein_coding
sgC,NC_092316.1,7062958,7065970,+,gene-LOC113739744,LOC113739744,elongation factor 1-delta,ID=gene-LOC113739744;Dbxref=GeneID:113739744;Name=LOC113739744;description=elongation factor 1-delta;gbkey=Gene;gene=LOC113739744;gene_biotype=protein_coding
sgC,NC_092316.1,7066443,7070140,-,gene-LOC113739743,LOC113739743,uncharacterized LOC113739743,ID=gene-LOC113739743;Dbxref=GeneID:113739743;Name=LOC113739743;description=uncharacterized LOC113739743;gbkey=Gene;gene=LOC113739743;gene_biotype=protein_coding
sgC,NC_092316.1,7074425,7077865,+,gene-LOC113738628,LOC113738628,protein MICROTUBULE BINDING PROTEIN 2C,ID=gene-LOC113738628;Dbxref=GeneID:113738628;Name=LOC113738628;description=protein MICROTUBULE BINDING PROTEIN 2C;gbkey=Gene;gene=LOC113738628;gene_biotype=protein_coding
sgC,NC_092316.1,7079427,7081131,-,gene-LOC113738852,LOC113738852,protein BREAKING OF ASYMMETRY IN THE STOMATAL LINEAGE,ID=gene-LOC113738852;Dbxref=GeneID:113738852;Name=LOC113738852;description=protein BREAKING OF ASYMMETRY IN THE STOMATAL LINEAGE;gbkey=Gene;gene=LOC113738852;gene_biotype=protein_coding
sgC,NC_092316.1,7081694,7096977,+,gene-LOC113738406,LOC113738406,uncharacterized LOC113738406,ID=gene-LOC113738406;Dbxref=GeneID:113738406;Name=LOC113738406;description=uncharacterized LOC113738406;gbkey=Gene;gene=LOC113738406;gene_biotype=protein_coding
sgC,NC_092316.1,7097470,7102135,+,gene-LOC113738380,LOC113738380,isoaspartyl peptidase/L-asparaginase 1,ID=gene-LOC113738380;Dbxref=GeneID:113738380;Name=LOC113738380;description=isoaspartyl peptidase/L-asparaginase 1;gbkey=Gene;gene=LOC113738380;gene_biotype=protein_coding
sgC,NC_092316.1,7114902,7124874,+,gene-LOC113739745,LOC113739745,subtilisin-like protease SBT2.5,ID=gene-LOC113739745;Dbxref=GeneID:113739745;Name=LOC113739745;description=subtilisin-like protease SBT2.5;gbkey=Gene;gene=LOC113739745;gene_biotype=protein_coding
sgC,NC_092316.1,7136651,7137292,+,gene-LOC113738853,LOC113738853,kunitz trypsin inhibitor 5-like,ID=gene-LOC113738853;Dbxref=GeneID:113738853;Name=LOC113738853;description=kunitz trypsin inhibitor 5-like;gbkey=Gene;gene=LOC113738853;gene_biotype=protein_coding
sgC,NC_092316.1,7141573,7144333,+,gene-LOC113739397,LOC113739397,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5,ID=gene-LOC113739397;Dbxref=GeneID:113739397;Name=LOC113739397;description=G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5;gbkey=Gene;gene=LOC113739397;gene_biotype=protein_coding
